Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Art
1774836,The Palace of Illusions,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""0385515995""","=""9780385515993""",0,4.19,Doubleday,Hardcover,360,2008,2008,,2019/02/19,to-read,to-read (#41),to-read,,,,0,0,
8686068,The Devotion of Suspect X (Detective Galileo #1),Keigo Higashino,"Higashino, Keigo",Alexander O. Smith,"=""0312375069""","=""9780312375065""",4,4.15,Minotaur Books,Hardcover,298,2011,2005,,2019/02/13,,,read,,,,1,0,
17936113,ಮ೦ಕುತಿಮ್ಮನ ಕಗ್ಗ  [Mankutimmana Kagga],D.V.G.,"D.V.G., D.V.G.",,"=""""","=""""",0,4.45,Kavyalaya Publishers,Paperback,273,1997,1943,,2019/02/06,to-read,to-read (#40),to-read,,,,0,0,
35619412,Great Expectations,Charles Dickens,"Dickens, Charles",,"=""""","=""""",0,3.79,AmazonClassics,Kindle Edition,499,2017,1860,,2018/09/22,to-read,to-read (#39),to-read,,,,0,0,
31364727,Holding,Graham Norton,"Norton, Graham",,"=""1444792008""","=""9781444792003""",0,3.83,Hodder & Stoughton,Hardcover,320,2016,2016,,2018/09/26,to-read,to-read (#38),to-read,,,,0,0,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.24,Crown Publishers,Hardcover,374,2011,2011,,2018/11/20,to-read,to-read (#37),to-read,,,,0,0,
12232938,The Lovely Bones,Alice Sebold,"Sebold, Alice",,"=""0316166685""","=""9780316166683""",4,3.84,"Little, Brown and Company",Mass Market Paperback,372,2006,2002,,2012/02/08,,,read,,,,1,0,
22463,The Origin of Species,Charles Darwin,"Darwin, Charles",,"=""""","=""""",0,4.00,Castle Books,Hardcover,703,2004,1859,,2018/11/20,to-read,to-read (#36),to-read,,,,0,0,
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",4,4.11,Broadway Books,Paperback,415,2014,2012,,2018/11/19,,,read,,,,1,0,
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",Alfredo Crespo,"=""0307347974""","=""9780307347978""",5,3.98,DeBolsillo,Mass Market Paperback,158,2004,1953,,2010/10/05,,,read,"I was too young to appreciate it the first time I read this book. I read it again and it was wonderful. It is more relatable now, and I can picture our society headed that way where mass media and entertainment controls our lives so much that our attention spans are shortened, face to face communication is all but forgotten and we are simply made to believe what we are told. To me, it wasn't even about book burning towards the end, but how one man wants to be more human and less a cog in the system. ",true,,1,0,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,,2018/01/04,to-read,to-read (#35),to-read,,,,0,0,
12609434,The Power Of Habit: Why We Do What We Do In Life And Business,Charles Duhigg,"Duhigg, Charles",,"=""""","=""""",0,4.13,Amazon Digital Services,Kindle Edition,402,2012,2012,,2017/10/04,to-read,to-read (#34),to-read,,,,0,0,
19030845,Batman: The Dark Knight Returns #1,Frank Miller,"Miller, Frank",John Lysmand,"=""""","=""""",0,4.27,DC,Kindle Edition,50,2019,1986,,2017/09/28,to-read,to-read (#33),to-read,,,,0,0,
18674889,Sherlock Holmes: The Ultimate Collection,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",5,4.52,Maplewood Books,Kindle Edition,2631,2013,2009,,2016/01/08,to-read,to-read (#32),to-read,,,,1,0,
13512170,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",Alan       Lee,"=""""","=""""",0,4.28,Houghton Mifflin Harcourt,Kindle Edition,322,2012,1937,,2012/09/27,to-read,to-read (#31),to-read,,,,0,0,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",4,4.48,Doubleday Canada,Hardcover,289,2016,2016,,2017/09/28,,,read,,,,1,0,
10016013,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",0,4.39,hpmor.com & fanfiction.net,ebook,2184,2015,2015,,2015/07/09,to-read,to-read (#30),to-read,,,,0,0,
32060479,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,3.61,Houghton Mifflin Harcourt,Kindle Edition,274,2016,1962,2017/05/01,2017/04/30,,,read,,,,1,0,
25342172,Vader's Little Princess,Jeffrey Brown,"Brown, Jeffrey",,"=""""","=""""",5,4.07,Chronicle Books LLC,Kindle Edition,64,2015,2013,2016/10/11,2016/10/11,,,read,,,,1,0,
